Date,Not indexed,Indexed,Impressions
2026-04-23,50,134,630
2026-04-24,58,128,474
2026-04-25,58,128,450
2026-04-26,58,128,602
2026-04-27,62,125,660
2026-04-28,62,125,713
2026-04-29,62,125,722
2026-04-30,62,125,776
2026-05-01,63,124,528
2026-05-02,63,124,672
2026-05-03,63,124,657
2026-05-04,65,122,792
2026-05-05,65,122,879
2026-05-06,65,122,726
2026-05-07,65,122,657
2026-05-08,63,125,436
2026-05-09,63,125,487
2026-05-10,63,125,785
2026-05-11,63,127,890
2026-05-12,63,127,891
2026-05-13,63,127,791
2026-05-14,63,127,650
2026-05-15,63,127,457
2026-05-16,63,127,678
2026-05-17,63,127,785
2026-05-18,65,125,757
2026-05-19,65,125,817
2026-05-20,65,125,752
2026-05-21,65,125,622
2026-05-22,64,126,571
2026-05-23,64,126,814
2026-05-24,64,126,685
2026-05-25,65,126,830
2026-05-26,65,126,859
2026-05-27,65,126,757
2026-05-28,65,126,625
2026-05-29,70,122,468
2026-05-30,70,122,614
2026-05-31,70,122,656
2026-06-01,71,121,717
2026-06-02,71,121,692
2026-06-03,71,121,776
2026-06-04,71,121,608
2026-06-05,69,123,405
2026-06-06,69,123,530
2026-06-07,69,123,622
2026-06-08,72,123,669
2026-06-09,72,123,788
2026-06-10,72,123,698
2026-06-11,72,123,640
2026-06-12,76,123,439
2026-06-13,76,123,605
2026-06-14,76,123,735
2026-06-15,76,123,929
2026-06-16,76,123,814
2026-06-17,76,123,772
2026-06-18,76,123,577
2026-06-19,76,123,401
2026-06-20,76,123,528
2026-06-21,76,123,769
2026-06-22,76,123,844
2026-06-23,76,123,796
2026-06-24,76,123,796
2026-06-25,76,123,749
2026-06-26,76,123,681
2026-06-27,76,123,651
2026-06-28,76,123,805
2026-06-29,76,123,700
2026-06-30,73,126,670
2026-07-01,73,126,654
2026-07-02,73,126,455
2026-07-03,73,126,364
2026-07-04,73,126,466
2026-07-05,73,126,586
2026-07-06,73,126,711
2026-07-07,73,126,736
2026-07-08,73,126,839
2026-07-09,73,126,699
